# Run 2016-05-30 02:56:36
# Parameters:
#	degap: False
#	translate: False
#	hydrophobicity_scale: Kyte-Doolittle
#	merge: False
#	aas: all
#	begin_aa: 1
#	pH: 7.2
#	out_fname: ../data/scer-proteome-aa-freqs.txt
#	sequence: None
#	exclude: False
#	end_aa: None
#	in_fname: c:/Dropbox (Drummond Lab)/bio/genomes/scer_orf_trans_all.fasta
#	query: None
orf	length	charge	pI	hydrophobicity	f.A	f.C	f.D	f.E	f.F	f.G	f.H	f.I	f.K	f.L	f.M	f.N	f.P	f.Q	f.R	f.S	f.T	f.V	f.W	f.Y	n.A	n.C	n.D	n.E	n.F	n.G	n.H	n.I	n.K	n.L	n.M	n.N	n.P	n.Q	n.R	n.S	n.T	n.V	n.W	n.Y
YJR060W	351	-21.5014	4.7925	-1.2755	0.0826	0.0028	0.0798	0.1197	0.0000	0.0484	0.0256	0.0399	0.0826	0.0769	0.0199	0.0769	0.0256	0.0598	0.0541	0.0940	0.0598	0.0228	0.0057	0.0228	29	1	28	42	0	17	9	14	29	27	7	27	9	21	19	33	21	8	2	8
#YJR061W YJR061W SGDID:S000003822, Chr X from 550511-553318, Genome Release 64-1-1, Uncharacterized ORF, "Putative protein of unknown function; non-essential gene with similarity to Mnn4, a putative membrane protein involved in glycosylation; transcription repressed by Rm101p"
YJR061W	935	-10.6351	6.2059	-0.5103	0.0417	0.0053	0.0695	0.0663	0.0588	0.0439	0.0267	0.0567	0.0738	0.1123	0.0171	0.0759	0.0299	0.0289	0.0492	0.0920	0.0439	0.0481	0.0118	0.0481	39	5	65	62	55	41	25	53	69	105	16	71	28	27	46	86	41	45	11	45
#YJR062C NTA1 SGDID:S000003823, Chr X from 554849-553476, Genome Release 64-1-1, reverse complement, Verified ORF, "Amidase, removes the amide group from N-terminal asparagine and glutamine residues to generate proteins with N-terminal aspartate and glutamate residues that are targets of ubiquitin-mediated degradation"
YJR062C	457	-14.1891	4.9538	-0.3853	0.0438	0.0153	0.0744	0.0678	0.0591	0.0591	0.0131	0.0656	0.0853	0.1007	0.0219	0.0525	0.0438	0.0394	0.0263	0.0832	0.0547	0.0438	0.0131	0.0372	20	7	34	31	27	27	6	30	39	46	10	24	20	18	12	38	25	20	6	17
#YJR063W RPA12 SGDID:S000003824, Chr X from 555195-555572, Genome Release 64-1-1, Verified ORF, "RNA polymerase I subunit A12.2; contains two zinc binding domains, and the N terminal domain is responsible for anchoring to the RNA pol I complex"
YJR063W	125	1.3508	7.7163	-0.3216	0.0640	0.0640	0.0480	0.0560	0.0400	0.0560	0.0080	0.0240	0.0960	0.0880	0.0160	0.0720	0.0320	0.0320	0.0240	0.0960	0.0800	0.0720	0.0000	0.0320	8	8	6	7	5	7	1	3	12	11	2	9	4	4	3	12	10	9	0	4
#YJR064W CCT5 SGDID:S000003825, Chr X from 555914-557602, Genome Release 64-1-1, Verified ORF, "Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo"
YJR064W	562	-14.0925	5.2265	-0.2534	0.0712	0.0160	0.0890	0.0641	0.0302	0.0694	0.0160	0.0836	0.0890	0.0961	0.0285	0.0302	0.0356	0.0498	0.0391	0.0676	0.0427	0.0658	0.0036	0.0125	40	9	50	36	17	39	9	47	50	54	16	17	20	28	22	38	24	37	2	7
#YJR065C ARP3 SGDID:S000003826, Chr X from 559158-557809, Genome Release 64-1-1, reverse complement, Verified ORF, "Essential component of the Arp2/3 complex, which is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity"
YJR065C	449	-7.0426	5.5067	-0.2568	0.0735	0.0111	0.0490	0.0646	0.0601	0.0757	0.0134	0.0579	0.0512	0.0735	0.0111	0.0624	0.0490	0.0312	0.0468	0.0891	0.0624	0.0735	0.0111	0.0334	33	5	22	29	27	34	6	26	23	33	5	28	22	14	21	40	28	33	5	15
#YJR066W TOR1 SGDID:S000003827, Chr X from 559416-566828, Genome Release 64-1-1, Verified ORF, "PIK-related protein kinase and rapamycin target; subunit of TORC1, a complex that controls growth in response to nutrients by regulating translation, transcription, ribosome biogenesis, nutrient transport and autophagy; involved in meiosis"
YJR066W	2470	-5.8187	6.8778	-0.1682	0.0632	0.0126	0.0502	0.0648	0.0360	0.0377	0.0247	0.0777	0.0664	0.1336	0.0202	0.0534	0.0453	0.0449	0.0453	0.0753	0.0518	0.0514	0.0146	0.0308	156	31	124	160	89	93	61	192	164	330	50	132	112	111	112	186	128	127	36	76
#YJR067C YAE1 SGDID:S000003828, Chr X from 567444-567019, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein of unknown function, essential for growth under standard (aerobic) conditions but not under anaerobic conditions"
YJR067C	141	-5.9782	4.9458	-0.6652	0.0355	0.0071	0.0993	0.0780	0.0355	0.0709	0.0213	0.0709	0.0922	0.0922	0.0142	0.0426	0.0355	0.0355	0.0426	0.0780	0.0496	0.0496	0.0213	0.0284	5	1	14	11	5	10	3	10	13	13	2	6	5	5	6	11	7	7	3	4
#YJR068W RFC2 SGDID:S000003829, Chr X from 567643-568704, Genome Release 64-1-1, Verified ORF, "Subunit of heteropentameric Replication factor C (RF-C), which is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon"
YJR068W	353	3.9503	8.4367	-0.3363	0.0652	0.0142	0.0623	0.0595	0.0368	0.0510	0.0170	0.0708	0.0822	0.1076	0.0170	0.0567	0.0368	0.0368	0.0510	0.0765	0.0623	0.0567	0.0085	0.0312	23	5	22	21	13	18	6	25	29	38	6	20	13	13	18	27	22	20	3	11
#YJR069C HAM1 SGDID:S000003830, Chr X from 569399-568806, Genome Release 64-1-1, reverse complement, Verified ORF, "Conserved protein with deoxyribonucleoside triphosphate pyrophosphohydrolase activity, mediates exclusion of noncanonical purines from deoxyribonucleoside triphosphate pools; mutant is sensitive to the base analog 6-N-hydroxylaminopurine"
YJR069C	197	-4.9025	5.3677	-0.3386	0.0914	0.0051	0.0558	0.0812	0.0761	0.0711	0.0203	0.0609	0.0863	0.0812	0.0203	0.0711	0.0305	0.0355	0.0254	0.0457	0.0558	0.0508	0.0102	0.0254	18	1	11	16	15	14	4	12	17	16	4	14	6	7	5	9	11	10	2	5
#YJR070C LIA1 SGDID:S000003831, Chr X from 570598-569621, Genome Release 64-1-1, reverse complement, Verified ORF, "Deoxyhypusine hydroxylase, a HEAT-repeat containing metalloenzyme that catalyzes hypusine formation; binds to and is required for the modification of Hyp2p (eIF5A); complements S. pombe mmd1 mutants defective in mitochondrial positioning"
YJR070C	325	-21.7326	4.6388	-0.3514	0.1200	0.0092	0.0646	0.1077	0.0338	0.0369	0.0246	0.0431	0.0615	0.1108	0.0185	0.0523	0.0492	0.0338	0.0431	0.0523	0.0400	0.0677	0.0031	0.0277	39	3	21	35	11	12	8	14	20	36	6	17	16	11	14	17	13	22	1	9
#YJR071W YJR071W SGDID:S000003832, Chr X from 570405-570773, Genome Release 64-1-1, Dubious ORF, "Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"
YJR071W	122	5.9309	9.8426	0.4328	0.0656	0.0164	0.0246	0.0164	0.0902	0.0164	0.0246	0.0328	0.0574	0.1557	0.0410	0.0574	0.0328	0.0082	0.0328	0.1311	0.0574	0.0738	0.0164	0.0492	8	2	3	2	11	2	3	4	7	19	5	7	4	1	4	16	7	9	2	6
#YJR072C NPA3 SGDID:S000003833, Chr X from 572124-570967, Genome Release 64-1-1, reverse complement, Verified ORF, "Essential, conserved, cytoplasmic ATPase; phosphorylated by the Pcl1p-Pho85p kinase complex"
YJR072C	385	-16.4812	4.6002	-0.4668	0.0649	0.0156	0.0779	0.0779	0.0416	0.0571	0.0026	0.0623	0.0779	0.0701	0.0390	0.0571	0.0312	0.0442	0.0364	0.0883	0.0519	0.0597	0.0052	0.0390	25	6	30	30	16	22	1	24	30	27	15	22	12	17	14	34	20	23	2	15
#YJR073C OPI3 SGDID:S000003834, Chr X from 572935-572315, Genome Release 64-1-1, reverse complement, Verified ORF, "Phospholipid methyltransferase (methylene-fatty-acyl-phospholipid synthase), catalyzes the last two steps in phosphatidylcholine biosynthesis"
YJR073C	206	5.7852	9.1646	0.2209	0.0680	0.0194	0.0243	0.0437	0.0534	0.0825	0.0146	0.0680	0.0631	0.1019	0.0583	0.0388	0.0291	0.0388	0.0340	0.0680	0.0534	0.0728	0.0146	0.0534	14	4	5	9	11	17	3	14	13	21	12	8	6	8	7	14	11	15	3	11
#YJR074W MOG1 SGDID:S000003835, Chr X from 573095-573751, Genome Release 64-1-1, Verified ORF, "Conserved nuclear protein that interacts with GTP-Gsp1p, which is a Ran homolog of the Ras GTPase family, and stimulates nucleotide release, involved in nuclear protein import, nucleotide release is inhibited by Yrb1p"
YJR074W	218	-16.8917	4.4339	-0.2523	0.0642	0.0092	0.0642	0.0963	0.0321	0.0505	0.0229	0.0505	0.0550	0.0917	0.0183	0.0367	0.0367	0.0596	0.0275	0.0550	0.0917	0.1055	0.0138	0.0183	14	2	14	21	7	11	5	11	12	20	4	8	8	13	6	12	20	23	3	4
#YJR075W HOC1 SGDID:S000003836, Chr X from 573981-575171, Genome Release 64-1-1, Verified ORF, "Alpha-1,6-mannosyltransferase involved in cell wall mannan biosynthesis; subunit of a Golgi-localized complex that also contains Anp1p, Mnn9p, Mnn11p, and Mnn10p; identified as a suppressor of a cell lysis sensitive pkc1-371 allele"
YJR075W	396	1.7640	8.1086	-0.3884	0.0505	0.0025	0.0606	0.0556	0.0631	0.0328	0.0328	0.0934	0.0682	0.0884	0.0152	0.0556	0.0530	0.0631	0.0505	0.0631	0.0505	0.0505	0.0253	0.0253	20	1	24	22	25	13	13	37	27	35	6	22	21	25	20	25	20	20	10	10
#YJR076C CDC11 SGDID:S000003837, Chr X from 576601-575354, Genome Release 64-1-1, reverse complement, Verified ORF, "Component of the septin ring of the mother-bud neck that is required for cytokinesis; septins recruit proteins to the neck and can act as a barrier to diffusion at the membrane, and they comprise the 10nm filaments seen with EM"
YJR076C	415	-21.7205	4.7841	-0.5814	0.0265	0.0072	0.0675	0.1084	0.0289	0.0554	0.0193	0.0892	0.0482	0.1084	0.0169	0.0578	0.0313	0.0361	0.0747	0.0819	0.0651	0.0434	0.0048	0.0289	11	3	28	45	12	23	8	37	20	45	7	24	13	15	31	34	27	18	2	12
#YJR077C MIR1 SGDID:S000003838, Chr X from 578190-577255, Genome Release 64-1-1, reverse complement, Verified ORF, "Mitochondrial phosphate carrier, imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2p under normal conditions; phosphorylated"
YJR077C	311	8.7836	9.6561	0.2945	0.0965	0.0096	0.0193	0.0354	0.0707	0.1254	0.0064	0.0611	0.0611	0.1093	0.0225	0.0225	0.0482	0.0386	0.0225	0.0900	0.0643	0.0547	0.0000	0.0418	30	3	6	11	22	39	2	19	19	34	7	7	15	12	7	28	20	17	0	13
#YJR078W BNA2 SGDID:S000003839, Chr X from 578860-580221, Genome Release 64-1-1, Verified ORF, "Putative tryptophan 2,3-dioxygenase or indoleamine 2,3-dioxygenase, required for de novo biosynthesis of NAD from tryptophan via kynurenine; interacts genetically with telomere capping gene CDC13; regulated by Hst1p and Aftp"
YJR078W	453	3.1756	7.8658	-0.2724	0.0596	0.0221	0.0508	0.0618	0.0287	0.0684	0.0309	0.0684	0.0618	0.1104	0.0265	0.0508	0.0442	0.0265	0.0574	0.0751	0.0596	0.0530	0.0110	0.0331	27	10	23	28	13	31	14	31	28	50	12	23	20	12	26	34	27	24	5	15
#YJR079W YJR079W SGDID:S000003840, Chr X from 580205-580347,581053-581239, Genome Release 64-1-1, Uncharacterized ORF, "Putative protein of unknown function; mutation results in impaired mitochondrial respiration"
YJR079W	109	-7.0556	4.5913	0.3009	0.0550	0.0183	0.0734	0.0734	0.1376	0.0367	0.0275	0.1101	0.0734	0.1101	0.0092	0.0275	0.0367	0.0275	0.0092	0.0642	0.0459	0.0367	0.0000	0.0275	6	2	8	8	15	4	3	12	8	12	1	3	4	3	1	7	5	4	0	3
#YJR080C AIM24 SGDID:S000003841, Chr X from 581616-580432, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays reduced respiratory growth and elevated frequency of mitochondrial genome loss"
YJR080C	394	19.1649	10.3047	-0.3175	0.0406	0.0076	0.0457	0.0406	0.0457	0.0457	0.0178	0.0888	0.0761	0.0863	0.0102	0.0761	0.0305	0.0431	0.0584	0.1269	0.0533	0.0711	0.0127	0.0228	16	3	18	16	18	18	7	35	30	34	4	30	12	17	23	50	21	28	5	9
#YJR082C EAF6 SGDID:S000003842, Chr X from 582255-581914, Genome Release 64-1-1, reverse complement, Verified ORF, "Subunit of the NuA4 acetyltransferase complex that acetylates histone H4 and NuA3 acetyltransferase complex that acetylates histone H3"
YJR082C	113	-4.4693	6.0414	-1.3363	0.0531	0.0000	0.0796	0.0708	0.0531	0.0619	0.0796	0.0354	0.0796	0.0531	0.0088	0.0885	0.0000	0.0708	0.0265	0.1416	0.0442	0.0088	0.0000	0.0442	6	0	9	8	6	7	9	4	9	6	1	10	0	8	3	16	5	1	0	5
#YJR083C ACF4 SGDID:S000003843, Chr X from 583537-582608, Genome Release 64-1-1, reverse complement, Verified ORF, "Protein of unknown function, computational analysis of large-scale protein-protein interaction data suggests a possible role in actin cytoskeleton organization; potential Cdc28p substrate"
YJR083C	309	2.4737	9.0311	-1.1547	0.0291	0.0000	0.0550	0.0777	0.0356	0.0259	0.0259	0.0485	0.0874	0.0777	0.0227	0.0906	0.0906	0.0809	0.0518	0.0906	0.0550	0.0356	0.0000	0.0194	9	0	17	24	11	8	8	15	27	24	7	28	28	25	16	28	17	11	0	6
#YJR084W YJR084W SGDID:S000003844, Chr X from 583733-585004, Genome Release 64-1-1, Verified ORF, "Protein that forms a complex with Thp3p; may have a role in transcription elongation and/or mRNA splicing; identified as a COP9 signalosome component but phenotype and interactions suggest it may not be involved with the signalosome"
YJR084W	423	15.0968	9.4705	-0.3634	0.0496	0.0213	0.0426	0.0733	0.0355	0.0355	0.0284	0.0591	0.0757	0.1348	0.0213	0.0520	0.0331	0.0402	0.0757	0.0686	0.0378	0.0591	0.0118	0.0449	21	9	18	31	15	15	12	25	32	57	9	22	14	17	32	29	16	25	5	19
#YJR085C YJR085C SGDID:S000003845, Chr X from 585437-585120, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, "Putative protein of unknown function; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
YJR085C	105	3.9995	9.6097	0.3038	0.0667	0.0000	0.0095	0.0286	0.0286	0.1619	0.0190	0.0286	0.0381	0.1524	0.0476	0.0190	0.0571	0.0000	0.0381	0.0762	0.0571	0.0667	0.0000	0.1048	7	0	1	3	3	17	2	3	4	16	5	2	6	0	4	8	6	7	0	11
#YJR086W STE18 SGDID:S000003846, Chr X from 586068-586400, Genome Release 64-1-1, Verified ORF, "G protein gamma subunit, forms a dimer with Ste4p to activate the mating signaling pathway, forms a heterotrimer with Gpa1p and Ste4p to dampen signaling; C-terminus is palmitoylated and farnesylated, which are required for normal signaling"
YJR086W	110	6.7172	10.0211	-0.8200	0.0364	0.0273	0.0091	0.0545	0.0091	0.0273	0.0091	0.0545	0.0818	0.1182	0.0273	0.1091	0.0364	0.1273	0.0455	0.1000	0.0636	0.0273	0.0091	0.0273	4	3	1	6	1	3	1	6	9	13	3	12	4	14	5	11	7	3	1	3
#YJR087W YJR087W SGDID:S000003847, Chr X from 586400-586750, Genome Release 64-1-1, Dubious ORF, "Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; partially overlaps the verified genes STE18 and ECM2"
YJR087W	116	6.9356	10.2465	0.4690	0.0690	0.0172	0.0259	0.0259	0.1207	0.0086	0.0259	0.0690	0.0690	0.1466	0.0259	0.0431	0.0345	0.0000	0.0431	0.1897	0.0172	0.0431	0.0000	0.0259	8	2	3	3	14	1	3	8	8	17	3	5	4	0	5	22	2	5	0	3
#YJR088C EMC2 SGDID:S000003848, Chr X from 587373-586495, Genome Release 64-1-1, reverse complement, Verified ORF, "Member of a transmembrane complex required for efficient folding of proteins in the ER; null mutant displays induction of the unfolded protein response"
YJR088C	292	-2.4220	5.4802	-0.2195	0.0651	0.0137	0.0445	0.0925	0.0342	0.0308	0.0000	0.0582	0.0993	0.1507	0.0308	0.0685	0.0103	0.0377	0.0308	0.0582	0.0548	0.0514	0.0103	0.0582	19	4	13	27	10	9	0	17	29	44	9	20	3	11	9	17	16	15	3	17
#YJR089W BIR1 SGDID:S000003849, Chr X from 587718-590582, Genome Release 64-1-1, Verified ORF, "Subunit of chromosomal passenger complex (CPC; Ipl1p-Sli15p-Bir1p-Nbl1p), which regulates chromosome segregation; required for chromosome bi-orientation and for spindle assembly checkpoint activation upon reduced sister kinetochore tension"
YJR089W	954	-10.5505	6.1000	-0.9029	0.0294	0.0126	0.0860	0.0723	0.0367	0.0430	0.0199	0.0671	0.0954	0.0713	0.0168	0.0860	0.0430	0.0377	0.0514	0.0996	0.0577	0.0472	0.0063	0.0210	28	12	82	69	35	41	19	64	91	68	16	82	41	36	49	95	55	45	6	20
#YJR090C GRR1 SGDID:S000003850, Chr X from 594327-590872, Genome Release 64-1-1, reverse complement, Verified ORF, "F-box protein component of the SCF ubiquitin-ligase complex; involved in carbon catabolite repression, glucose-dependent divalent cation transport, high-affinity glucose transport, morphogenesis, and sulfite detoxification"
YJR090C	1151	-12.7811	6.1433	-0.3970	0.0321	0.0182	0.0669	0.0521	0.0452	0.0321	0.0217	0.0695	0.0452	0.1199	0.0252	0.1103	0.0348	0.0487	0.0626	0.0634	0.0617	0.0608	0.0061	0.0235	37	21	77	60	52	37	25	80	52	138	29	127	40	56	72	73	71	70	7	27
#YJR091C JSN1 SGDID:S000003851, Chr X from 598336-595061, Genome Release 64-1-1, reverse complement, Verified ORF, "Member of the Puf family of RNA-binding proteins, interacts with mRNAs encoding membrane-associated proteins; involved in localizing the Arp2/3 complex to mitochondria; overexpression causes increased sensitivity to benomyl"
YJR091C	1091	-6.3376	6.5862	-0.5354	0.0504	0.0073	0.0394	0.0422	0.0330	0.0467	0.0293	0.0568	0.0422	0.0926	0.0284	0.1045	0.0614	0.0651	0.0321	0.1283	0.0678	0.0440	0.0064	0.0220	55	8	43	46	36	51	32	62	46	101	31	114	67	71	35	140	74	48	7	24
#YJR092W BUD4 SGDID:S000003852, Chr X from 598735-603078, Genome Release 64-1-1, Verified ORF, "Involved in bud-site selection and required for the axial budding pattern; localizes with septins to bud neck in mitosis and may constitute an axial landmark for next round of budding; required for the formation of a double septin ring, and generally for the organization of septin structures; potential Cdc28p substrate"
YJR092W	1447	-103.2670	4.6084	-0.8878	0.0449	0.0083	0.0760	0.1113	0.0359	0.0352	0.0242	0.0601	0.0774	0.0746	0.0138	0.0712	0.0498	0.0428	0.0373	0.1023	0.0587	0.0442	0.0090	0.0228	65	12	110	161	52	51	35	87	112	108	20	103	72	62	54	148	85	64	13	33
#YJR093C FIP1 SGDID:S000003853, Chr X from 604203-603220, Genome Release 64-1-1, reverse complement, Verified ORF, "Subunit of cleavage polyadenylation factor (CPF), interacts directly with poly(A) polymerase (Pap1p) to regulate its activity; bridging factor that links Pap1p and the CPF complex via Yth1p"
YJR093C	327	-26.9634	4.0879	-0.8428	0.0550	0.0000	0.1070	0.0550	0.0306	0.0550	0.0061	0.0428	0.0459	0.0673	0.0398	0.0887	0.0826	0.0428	0.0336	0.1223	0.0612	0.0367	0.0061	0.0214	18	0	35	18	10	18	2	14	15	22	13	29	27	14	11	40	20	12	2	7
#YJR094C IME1 SGDID:S000003854, Chr X from 605651-604569, Genome Release 64-1-1, reverse complement, Verified ORF, "Master regulator of meiosis that is active only during meiotic events, activates transcription of early meiotic genes through interaction with Ume6p, degraded by the 26S proteasome following phosphorylation by Ime2p"
YJR094C	360	-16.4697	4.9900	-1.0514	0.0361	0.0083	0.0722	0.0639	0.0722	0.0167	0.0333	0.0528	0.0667	0.0500	0.0083	0.1000	0.0556	0.0611	0.0222	0.1306	0.0694	0.0139	0.0028	0.0639	13	3	26	23	26	6	12	19	24	18	3	36	20	22	8	47	25	5	1	23
#YJR094W-A RPL43B SGDID:S000003855, Chr X from 608305-608306,608582-608858, Genome Release 64-1-1, Verified ORF, "Protein component of the large (60S) ribosomal subunit, identical to Rpl43Ap and has similarity to rat L37a ribosomal protein"
YJR094W-A	92	16.5643	10.8886	-0.3750	0.1196	0.0543	0.0109	0.0326	0.0109	0.0978	0.0109	0.0435	0.1196	0.0326	0.0217	0.0000	0.0000	0.0326	0.1087	0.0652	0.0978	0.0870	0.0109	0.0435	11	5	1	3	1	9	1	4	11	3	2	0	0	3	10	6	9	8	1	4
#YJR095W SFC1 SGDID:S000003856, Chr X from 609773-610741, Genome Release 64-1-1, Verified ORF, "Mitochondrial succinate-fumarate transporter, transports succinate into and fumarate out of the mitochondrion; required for ethanol and acetate utilization"
YJR095W	322	19.1567	10.2243	-0.0870	0.0870	0.0093	0.0155	0.0559	0.0373	0.0870	0.0217	0.0776	0.0870	0.0839	0.0248	0.0404	0.0528	0.0404	0.0435	0.0528	0.0652	0.0745	0.0031	0.0404	28	3	5	18	12	28	7	25	28	27	8	13	17	13	14	17	21	24	1	13
#YJR096W YJR096W SGDID:S000003857, Chr X from 611195-612043, Genome Release 64-1-1, Verified ORF, "Putative xylose and arabinose reductase; member of the aldo-keto reductase (AKR) family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS"
YJR096W	282	-1.9794	6.5768	-0.4855	0.0532	0.0213	0.0532	0.0816	0.0248	0.0674	0.0284	0.0567	0.0887	0.1064	0.0177	0.0496	0.0567	0.0355	0.0390	0.0461	0.0390	0.0603	0.0248	0.0496	15	6	15	23	7	19	8	16	25	30	5	14	16	10	11	13	11	17	7	14
#YJR097W JJJ3 SGDID:S000003858, Chr X from 612413-612931, Genome Release 64-1-1, Verified ORF, "Protein of unknown function, contains a J-domain, which is a region with homology to the E. coli DnaJ protein"
YJR097W	172	-11.1222	4.7887	-0.6017	0.0291	0.0349	0.0930	0.0814	0.0523	0.0407	0.0349	0.0640	0.0581	0.1047	0.0233	0.0640	0.0174	0.0465	0.0523	0.0872	0.0407	0.0349	0.0058	0.0349	5	6	16	14	9	7	6	11	10	18	4	11	3	8	9	15	7	6	1	6
#YJR098C YJR098C SGDID:S000003859, Chr X from 615156-613186, Genome Release 64-1-1, reverse complement, Uncharacterized ORF, "Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"
YJR098C	656	-1.4456	6.8772	-0.5794	0.0427	0.0091	0.0823	0.0625	0.0396	0.0595	0.0229	0.0625	0.0915	0.0884	0.0198	0.0549	0.0427	0.0213	0.0503	0.0899	0.0579	0.0579	0.0091	0.0351	28	6	54	41	26	39	15	41	60	58	13	36	28	14	33	59	38	38	6	23
#YJR099W YUH1 SGDID:S000003860, Chr X from 615576-616286, Genome Release 64-1-1, Verified ORF, "Ubiquitin C-terminal hydrolase that cleaves ubiquitin-protein fusions to generate monomeric ubiquitin; hydrolyzes the peptide bond at the C-terminus of ubiquitin; also the major processing enzyme for the ubiquitin-like protein Rub1p"
YJR099W	236	-16.9709	4.2999	-0.3318	0.0593	0.0042	0.0593	0.0847	0.0508	0.0508	0.0127	0.0466	0.0424	0.1102	0.0127	0.0805	0.0466	0.0381	0.0297	0.0975	0.0593	0.0678	0.0127	0.0339	14	1	14	20	12	12	3	11	10	26	3	19	11	9	7	23	14	16	3	8
#YJR100C AIM25 SGDID:S000003861, Chr X from 617334-616351, Genome Release 64-1-1, reverse complement, Verified ORF, "Putative protein of unknown function; non-tagged protein is detected in purified mitochondria in high-throughput studies; similar to murine NOR1; null mutant is viable and displays elevated frequency of mitochondrial genome loss"
YJR100C	327	3.3154	8.7782	-0.2899	0.0459	0.0061	0.0673	0.0428	0.0795	0.0673	0.0245	0.0795	0.0459	0.0520	0.0336	0.0550	0.0336	0.0336	0.0734	0.0765	0.0703	0.0703	0.0122	0.0306	15	2	22	14	26	22	8	26	15	17	11	18	11	11	24	25	23	23	4	10
#YJR101W RSM26 SGDID:S000003862, Chr X from 618234-619034, Genome Release 64-1-1, Verified ORF, "Mitochondrial ribosomal protein of the small subunit"
YJR101W	266	4.2331	9.0767	-0.2410	0.0414	0.0075	0.0376	0.0489	0.0526	0.0564	0.0263	0.0602	0.0752	0.1128	0.0150	0.1053	0.0376	0.0301	0.0263	0.0902	0.0414	0.0752	0.0226	0.0376	11	2	10	13	14	15	7	16	20	30	4	28	10	8	7	24	11	20	6	10
#YJR102C VPS25 SGDID:S000003863, Chr X from 619765-619157, Genome Release 64-1-1, reverse complement, Verified ORF, "Component of the ESCRT-II complex, which is involved in ubiquitin-dependent sorting of proteins into the endosome"
YJR102C	202	-3.3506	5.1746	-0.5332	0.0198	0.0198	0.0792	0.0545	0.0297	0.0297	0.0050	0.0792	0.0693	0.0891	0.0248	0.0594	0.0396	0.0495	0.0495	0.1089	0.0693	0.0495	0.0347	0.0396	4	4	16	11	6	6	1	16	14	18	5	12	8	10	10	22	14	10	7	8
#YJR103W URA8 SGDID:S000003864, Chr X from 620754-622490, Genome Release 64-1-1, Verified ORF, "Minor CTP synthase isozyme (see also URA7), catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP, forming CTP, the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis"
YJR103W	578	-20.2830	5.3612	-0.2521	0.0415	0.0138	0.0571	0.0830	0.0277	0.0865	0.0329	0.0709	0.0554	0.1003	0.0242	0.0433	0.0433	0.0294	0.0484	0.0657	0.0536	0.0813	0.0121	0.0294	24	8	33	48	16	50	19	41	32	58	14	25	25	17	28	38	31	47	7	17
#YJR104C SOD1 SGDID:S000003865, Chr X from 623014-622550, Genome Release 64-1-1, reverse complement, Verified ORF, "Cytosolic copper-zinc superoxide dismutase; some mutations are analogous to those that cause ALS (amyotrophic lateral sclerosis) in humans"
YJR104C	154	-4.8300	5.6518	-0.3227	0.0844	0.0130	0.0584	0.0649	0.0390	0.1429	0.0390	0.0390	0.0649	0.0390	0.0130	0.0519	0.0519	0.0195	0.0260	0.0714	0.0649	0.1104	0.0000	0.0065	13	2	9	10	6	22	6	6	10	6	2	8	8	3	4	11	10	17	0	1
#YJR105W ADO1 SGDID:S000003866, Chr X from 623581-624603, Genome Release 64-1-1, Verified ORF, "Adenosine kinase, required for the utilization of S-adenosylmethionine (AdoMet); may be involved in recycling adenosine produced through the methyl cycle"
YJR105W	340	-12.8277	4.8608	0.0056	0.1206	0.0088	0.0676	0.0559	0.0500	0.0794	0.0206	0.0471	0.0706	0.0912	0.0176	0.0382	0.0441	0.0324	0.0147	0.0647	0.0559	0.0853	0.0059	0.0294	41	3	23	19	17	27	7	16	24	31	6	13	15	11	5	22	19	29	2	10
#YJR106W ECM27 SGDID:S000003867, Chr X from 624838-627015, Genome Release 64-1-1, Verified ORF, "Putative protein of unknown function; may play a role in cell wall biosynthesis, mutants are hypersensitive to Papulacandin B; null mutants have increased plasmid loss; displays a two-hybrid interaction with Pdr5p"
YJR106W	725	-4.0417	6.5327	0.4308	0.0621	0.0193	0.0359	0.0400	0.0593	0.0455	0.0207	0.0993	0.0359	0.1462	0.0345	0.0497	0.0386	0.0276	0.0345	0.1159	0.0566	0.0441	0.0138	0.0207	45	14	26	29	43	33	15	72	26	106	25	36	28	20	25	84	41	32	10	15
